time,snow_percent
2018-02-08 10:11:53,79.58670123532103
2018-02-11 10:25:59,74.47525978941573
2018-02-13 10:15:59,68.06034828665436
2018-02-21 10:20:33,71.93476552266178
2018-02-28 10:10:21,68.03063293040019
2018-03-08 10:22:41,85.50884144104484
2018-03-20 10:10:21,78.13466922056872
2018-03-23 10:20:21,69.4586546537375
2018-03-25 10:15:11,69.8135198135198
2018-04-02 10:24:35,68.72557756906835
2018-04-07 10:20:20,66.36765384869072
2018-04-14 10:15:36,72.58276214087793
2018-04-19 10:14:57,58.560387739062094
2018-04-22 10:21:15,54.872936861409485
2018-04-24 10:15:26,49.479083186408076
2018-06-16 10:20:21,6.388141929559914
2018-06-23 10:11:39,3.6455867433209335
